sites,number,lat_min,long_min,lat_max,long_max,port_number
Breville-Sur-Mer,1,48.83003461382532,-1.6274565129689433,48.96005612238222,-1.4410431434029005,26.0
Agon-Coutainville,2,48.984904873597856,-1.6205610361768685,49.10780793998819,-1.4669154174905312,26.0
Saint-Germain-Sur-Ay,3,49.20215097030899,-1.7087010368418436,49.3436055312314,-1.5424702149965044,23.0
Jullouville,4,48.76440236913813,-1.5837118947336168,48.82174814503153,-1.5233431695078326,26.0
Etréham,5,49.26726801562784,-0.9401431746025148,49.364134723439335,-0.7502850723282232,34.0
Genêts,6,48.64726566375024,-1.477513954384243,48.756468986757994,-1.3440684527488675,29.0
Saint-Pair-sur-Mer,7,48.78982227317812,-1.605104075734017,48.84947090045968,-1.4284489464580277,26.0
Arromanches-les-Bains,8,49.28408869806665,-0.696567511200555,49.35922742775667,-0.45530107961605565,35.0
Port-en-Bessin,9,49.18661368204653,-0.7595736696782569,49.35684188876573,-0.6460616653038114,34.0
Courtils,10,48.542400786756154,-1.4665272563788512,48.692987042886905,-1.2494894756572015,29.0
Lessay,11,49.19461456723981,-1.5596748247107448,49.27584862641455,-1.4760503370943925,23.0
Doville,12,49.26314891664433,-1.6718972951246522,49.410525927805374,-1.4422447257838036,23.0
Graye-sur-Mer,13,49.29869002815441,-0.5302516240911599,49.34082659176685,-0.4458886996038759,35.0
Saint-Potan,14,48.46071737477883,-2.380910890043166,48.599993423181196,-2.1945332970202296,12.0
Saint-Vaast-la-Hougue,15,49.51813497698068,-1.3597500201827324,49.61751973631329,-1.257238932466689,30.0
La_Pernelle,16,49.579239589896666,-1.4377115843534636,49.66640044093213,-1.2040446671362086,30.0
Lestre,17,49.498503216872585,-1.4358648775157388,49.5811122861013,-1.2885436150472205,30.0
Banville,18,49.28153703009725,-0.5250897711782332,49.32142473383866,-0.4604633161771537,35.0
Isigny-sur-Mer,19,49.29524056459783,-1.193561205094216,49.37228441607386,-1.0530476041576222,33.0
Saint-Malo,20,48.578909379578235,-2.045108995541249,48.723473670891536,-1.8112040741580813,14.0
Pierreville,21,49.409299347033894,-1.8129516563101087,49.51973863063949,-1.7184458857735438,22.0
La_Feuillie,22,49.06852688064599,-1.5083093304179302,49.224748870190595,-1.4138555126307222,23.0
Tourlaville,23,49.56575492836538,-1.6152433961103814,49.6582304857897,-1.5300578962499618,27.0
Octeville,24,49.61527151822972,-1.6799689363687516,49.66547457479393,-1.578844809439372,27.0
Saint-Briac-sur-Mer,25,48.46030381093479,-2.1897780678477403,48.653768606050235,-2.0412233237423556,14.0
Granville,26,48.8013436688058,-1.6242468880225893,48.88424224853018,-1.4032335937234053,26.0
Blainville-sur-Mer,27,48.99088155148151,-1.6003019242081513,49.22796262522582,-1.4705125110271267,23.0
Hauteville-sur-Mer,28,48.93573294995003,-1.5667617231650561,49.018590761151074,-1.4904404670974838,26.0
Sainte-Marie-du-Mont,29,49.305102166228785,-1.2760150243612849,49.40426692010758,-1.1400428191244423,33.0
Vierville-sur-Mer,30,49.31623421750599,-1.1261601898344034,49.40693038996012,-0.6859706844127003,34.0
Cherrueix,31,48.5466973607762,-1.7746686768831634,48.62242466596002,-1.5398580182446067,20.0
Chef-du-Pont,32,49.35452723598849,-1.4214296361897798,49.43040370225508,-1.2641671745343612,33.0
Saint-Lô,33,49.0173907085466,-1.2586670193653238,49.1116740611489,-1.117184602828845,33.0
Couvains,34,49.09054359109494,-1.0179968814800702,49.207106633559135,-0.8935877453416533,33.0
Rocheville,35,49.439713620043904,-1.6435442839472871,49.51915088140544,-1.5068920767719416,33.0
Lison,36,49.225012880201255,-1.1315617352322893,49.28886839668838,-1.0416520325648562,33.0
Marigny,37,49.00191402868434,-1.3743971235820702,49.08511988904942,-1.2765167459147164,26.0
Carville,38,48.879488060141924,-0.8143990222289719,48.98312327785794,-0.7018124094133963,33.0
Percy,39,48.88035502697621,-1.2515325812971738,48.947085188779475,-1.0902529890970998,26.0
Saint-Armand,40,48.996700146236336,-0.926474036184732,49.09497226243876,-0.7651096973495692,34.0
