stress_period	sp_length	time_step	study (0 : TS or 1 : SS)	rech	chd_sea
157	1	1	0	0.0016173	0.837911691
158	1	1	0	0.0022233	0.422088309
159	1	1	0	0.0023567	0.042214748
160	1	1	0	0.0023225	-0.236025404
161	1	1	0	0.0022555	-0.364521895
162	1	1	0	0.0020818	-0.321056516
163	1	1	0	0.0018922	-0.113144825
164	1	1	0	0.0016637	0.223263357
165	1	1	0	0.0014103	0.63
166	1	1	0	0.0011347	1.036736643
167	1	1	0	0.00089745	1.373144825
168	1	1	0	0.00080142	1.581056516
169	1	1	0	0.0010311	1.624521895
170	1	1	0	0.0013857	1.496025404
171	1	1	0	0.001599	1.217785252
172	1	1	0	0.0019543	0.837911691
173	1	1	0	0.0023717	0.422088309
174	1	1	0	0.0026323	0.042214748
175	1	1	0	0.0026985	-0.236025404
176	1	1	0	0.0026237	-0.364521895
177	1	1	0	0.0024035	-0.321056516
178	1	1	0	0.0022062	-0.113144825
179	1	1	0	0.0020195	0.223263357
180	1	1	0	0.0020627	0.63
181	1	1	0	0.0024037	1.036736643
182	1	1	0	0.0024665	1.373144825
183	1	1	0	0.00234	1.581056516
184	1	1	0	0.0021278	1.624521895
185	1	1	0	0.001896	1.496025404
186	1	1	0	0.0016143	1.217785252
187	1	1	0	0.0013388	0.837911691
188	1	1	0	0.0010933	0.422088309
189	1	1	0	0.0011253	0.042214748
190	1	1	0	0.0014338	-0.236025404
191	1	1	0	0.0016495	-0.364521895
192	1	1	0	0.0017673	-0.321056516
193	1	1	0	0.0016973	-0.113144825
194	1	1	0	0.0017117	0.223263357
195	1	1	0	0.0017745	0.63
196	1	1	0	0.0017405	1.036736643
197	1	1	0	0.0016737	1.373144825
198	1	1	0	0.001733	1.581056516
199	1	1	0	0.0017422	1.624521895
200	1	1	0	0.0016837	1.496025404
201	1	1	0	0.0016075	1.217785252
202	1	1	0	0.001461	0.837911691
203	1	1	0	0.001255	0.422088309
204	1	1	0	0.0010087	0.042214748
205	1	1	0	0.00079458	-0.236025404
206	1	1	0	0.00069993	-0.364521895
207	1	1	0	0.00070343	-0.321056516
208	1	1	0	0.00071348	-0.113144825
209	1	1	0	0.00083852	0.223263357
210	1	1	0	0.0010798	0.63
211	1	1	0	0.0011158	1.036736643
212	1	1	0	0.00099847	1.373144825
213	1	1	0	0.00083655	1.581056516
214	1	1	0	0.0006724	1.624521895
215	1	1	0	0.00055322	1.496025404
