stress_period	sp_length	time_step	study (0 : TS or 1 : SS)	rech	chd_sea
689	1	1	0	0.00022695	0.223263357
690	1	1	0	0.00022688	0.63
691	1	1	0	0.00022685	1.036736643
692	1	1	0	0.00022677	1.373144825
693	1	1	0	0.00022667	1.581056516
694	1	1	0	0.0002266	1.624521895
695	1	1	0	0.00022647	1.496025404
696	1	1	0	0.00022633	1.217785252
697	1	1	0	0.00022623	0.837911691
698	1	1	0	0.00022605	0.422088309
699	1	1	0	0.00022593	0.042214748
700	1	1	0	0.00022578	-0.236025404
701	1	1	0	0.00022563	-0.364521895
702	1	1	0	0.00022545	-0.321056516
703	1	1	0	0.00022528	-0.113144825
704	1	1	0	0.00022505	0.223263357
705	1	1	0	0.0002249	0.63
706	1	1	0	0.0002247	1.036736643
707	1	1	0	0.00022453	1.373144825
708	1	1	0	0.00022438	1.581056516
709	1	1	0	0.00022425	1.624521895
710	1	1	0	0.00022408	1.496025404
711	1	1	0	0.00022392	1.217785252
712	1	1	0	0.00022378	0.837911691
713	1	1	0	0.00022365	0.422088309
714	1	1	0	0.00022348	0.042214748
715	1	1	0	0.00022335	-0.236025404
716	1	1	0	0.0002232	-0.364521895
717	1	1	0	0.00022302	-0.321056516
718	1	1	0	0.00022293	-0.113144825
719	1	1	0	0.0002228	0.223263357
720	1	1	0	0.00022265	0.63
721	1	1	0	0.0002225	1.036736643
722	1	1	0	0.00022235	1.373144825
723	1	1	0	0.0002222	1.581056516
724	1	1	0	0.00022205	1.624521895
725	1	1	0	0.00022193	1.496025404
726	1	1	0	0.00022178	1.217785252
727	1	1	0	0.00022168	0.837911691
728	1	1	0	0.00022155	0.422088309
729	1	1	0	0.00022138	0.042214748
730	1	1	0	0.00022125	-0.236025404
